# J, eta_p, CT, CP
0.0,0.00,0.1023,0.1144
0.0,0.06,0.1025,0.1129
0.1,0.11,0.1028,0.1124
0.1,0.16,0.1030,0.1103
0.2,0.22,0.1033,0.1092
0.2,0.26,0.1034,0.1078
0.3,0.31,0.1035,0.1059
0.3,0.36,0.1036,0.1048
0.3,0.40,0.1034,0.1023
0.4,0.45,0.1033,0.1009
0.4,0.49,0.1031,0.1004
0.5,0.53,0.1027,0.0991
0.5,0.57,0.1022,0.0982
0.5,0.61,0.1013,0.0966
0.6,0.64,0.1002,0.0958
0.6,0.68,0.0984,0.0943
0.7,0.72,0.0957,0.0921
0.7,0.75,0.0917,0.0886
0.7,0.78,0.0861,0.0836
0.8,0.81,0.0793,0.0776
0.8,0.83,0.0721,0.0721
0.9,0.85,0.0647,0.0667
0.9,0.86,0.0570,0.0607
1.0,0.87,0.0492,0.0542
1.0,0.87,0.0412,0.0473
1.0,0.86,0.0334,0.0403
1.1,0.84,0.0254,0.0330
1.1,0.77,0.0170,0.0251
1.2,0.59,0.0084,0.0172
1.2,-0.04,-0.0008,0.0098
